"Date","Price","Open","High","Low","Vol.","Change"
"Apr 01, 2014","796.44","799.08","799.08","792.69","-","0.17%"
"Mar 31, 2014","795.12","791.99","796.42","787.05","-","1.51%"
"Mar 28, 2014","783.29","776.49","783.84","771.59","-","0.78%"
"Mar 27, 2014","777.19","765.81","778.84","758.91","-","0.20%"
"Mar 26, 2014","775.61","774.33","777.88","770.10","-","0.79%"
"Mar 25, 2014","769.54","764.81","773.39","759.19","-","0.10%"
"Mar 24, 2014","768.77","763.66","774.25","762.91","-","1.07%"
"Mar 20, 2014","760.65","774.89","776.38","759.93","-","-1.40%"
"Mar 19, 2014","771.48","775.98","783.49","766.81","-","-0.06%"
"Mar 18, 2014","771.95","778.33","780.16","771.76","-","0.61%"
"Mar 17, 2014","767.28","768.40","772.11","761.71","-","-0.67%"
"Mar 14, 2014","772.48","782.73","783.50","770.90","-","-3.17%"
"Mar 13, 2014","797.80","799.83","802.74","796.77","-","-0.39%"
"Mar 12, 2014","800.92","807.69","808.51","800.10","-","-2.13%"
"Mar 11, 2014","818.34","816.65","820.86","814.02","-","0.51%"
"Mar 10, 2014","814.19","817.88","820.48","811.30","-","-0.92%"
"Mar 07, 2014","821.73","824.61","825.68","816.66","-","0.62%"
"Mar 06, 2014","816.69","806.87","819.17","805.55","-","1.44%"
"Mar 05, 2014","805.12","808.76","812.06","805.12","-","0.75%"
"Mar 04, 2014","799.11","788.81","802.97","788.49","-","0.56%"
"Mar 03, 2014","794.65","794.92","795.31","782.95","-","-1.15%"
"Feb 28, 2014","803.92","807.70","808.08","798.32","-","-0.51%"
"Feb 27, 2014","808.07","811.14","813.59","805.91","-","-0.65%"
"Feb 26, 2014","813.34","812.37","818.52","812.03","-","-0.62%"
"Feb 25, 2014","818.38","815.27","819.34","813.51","-","1.14%"
"Feb 24, 2014","809.16","811.59","819.53","800.40","-","-0.35%"
"Feb 21, 2014","812.03","804.04","812.85","804.04","-","2.17%"
"Feb 20, 2014","794.75","806.50","808.85","793.15","-","-1.95%"
"Feb 19, 2014","810.56","810.87","812.68","807.34","-","-0.47%"
"Feb 18, 2014","814.36","795.75","816.04","795.14","-","2.98%"
"Feb 17, 2014","790.83","788.48","791.76","779.63","-","0.50%"
